Species,Body Mass (g),Culmen Length (mm),flipper_length,length_mass_ration
Gentoo penguin (Pygoscelis papua),5600,55.9,228,0.04071428571428572
Gentoo penguin (Pygoscelis papua),5400,48.4,220,0.040740740740740744
Gentoo penguin (Pygoscelis papua),5200,45.2,212,0.040769230769230766
Gentoo penguin (Pygoscelis papua),5650,54.3,231,0.04088495575221239
Gentoo penguin (Pygoscelis papua),5050,45.1,207,0.04099009900990099
Gentoo penguin (Pygoscelis papua),5300,51.3,218,0.041132075471698115
Adelie Penguin (Pygoscelis adeliae),4775,43.2,197,0.0412565445026178
Adelie Penguin (Pygoscelis adeliae),4600,39.6,190,0.041304347826086954
Gentoo penguin (Pygoscelis papua),5550,52.1,230,0.04144144144144144
Gentoo penguin (Pygoscelis papua),5500,49.1,228,0.04145454545454545
Gentoo penguin (Pygoscelis papua),5350,48.7,222,0.041495327102803736
Gentoo penguin (Pygoscelis papua),5300,48.5,220,0.04150943396226415
Adelie Penguin (Pygoscelis adeliae),4600,45.6,191,0.04152173913043478
Gentoo penguin (Pygoscelis papua),5400,50.5,225,0.041666666666666664
Gentoo penguin (Pygoscelis papua),5300,46.2,221,0.04169811320754717
Adelie Penguin (Pygoscelis adeliae),4700,42.9,196,0.04170212765957447
Adelie Penguin (Pygoscelis adeliae),4675,39.2,195,0.04171122994652406
Gentoo penguin (Pygoscelis papua),5250,44.4,219,0.04171428571428572
Gentoo penguin (Pygoscelis papua),5200,46.5,217,0.04173076923076923
Gentoo penguin (Pygoscelis papua),5150,46.8,215,0.04174757281553398
Gentoo penguin (Pygoscelis papua),5100,44.9,213,0.04176470588235294
Adelie Penguin (Pygoscelis adeliae),4450,39.6,186,0.041797752808988765
Gentoo penguin (Pygoscelis papua),5500,51.5,230,0.04181818181818182
Gentoo penguin (Pygoscelis papua),5350,50,224,0.041869158878504675
Gentoo penguin (Pygoscelis papua),5200,46.7,219,0.04211538461538462
Gentoo penguin (Pygoscelis papua),5100,46.1,215,0.04215686274509804
Gentoo penguin (Pygoscelis papua),5400,52.2,228,0.042222222222222223
Gentoo penguin (Pygoscelis papua),5250,47.3,222,0.04228571428571429
Gentoo penguin (Pygoscelis papua),5050,46.3,215,0.04257425742574258
Gentoo penguin (Pygoscelis papua),5150,49.1,220,0.04271844660194175
Gentoo penguin (Pygoscelis papua),5250,51.1,225,0.04285714285714286
Adelie Penguin (Pygoscelis adeliae),4725,41,203,0.04296296296296296
Gentoo penguin (Pygoscelis papua),5000,45.1,215,0.043
Gentoo penguin (Pygoscelis papua),5000,42.9,215,0.043
Gentoo penguin (Pygoscelis papua),4950,42.6,213,0.04303030303030303
Gentoo penguin (Pygoscelis papua),5000,50.5,216,0.0432
Gentoo penguin (Pygoscelis papua),4975,47.2,215,0.04321608040201005
Gentoo penguin (Pygoscelis papua),4850,46.6,210,0.04329896907216495
Gentoo penguin (Pygoscelis papua),5100,48.2,221,0.043333333333333335
Gentoo penguin (Pygoscelis papua),4925,47.2,214,0.04345177664974619
Gentoo penguin (Pygoscelis papua),5200,50.8,226,0.04346153846153846
Gentoo penguin (Pygoscelis papua),4875,47.5,212,0.043487179487179485
Gentoo penguin (Pygoscelis papua),4800,46.2,209,0.043541666666666666
Gentoo penguin (Pygoscelis papua),5050,45,220,0.04356435643564356
Adelie Penguin (Pygoscelis adeliae),4300,40.1,188,0.04372093023255814
Chinstrap penguin (Pygoscelis antarctica),4800,52,210,0.04375
Adelie Penguin (Pygoscelis adeliae),4500,42.5,197,0.04377777777777778
Gentoo penguin (Pygoscelis papua),4925,49.4,216,0.04385786802030457
Gentoo penguin (Pygoscelis papua),4625,48.4,203,0.04389189189189189
Gentoo penguin (Pygoscelis papua),4800,45.4,211,0.043958333333333335
Gentoo penguin (Pygoscelis papua),5000,45.5,220,0.044
Gentoo penguin (Pygoscelis papua),4950,47.5,218,0.04404040404040404
Gentoo penguin (Pygoscelis papua),4850,44.5,214,0.044123711340206186
Gentoo penguin (Pygoscelis papua),5000,46.4,221,0.0442
Gentoo penguin (Pygoscelis papua),4900,43.6,217,0.04428571428571428
Gentoo penguin (Pygoscelis papua),4900,46.5,217,0.04428571428571428
Adelie Penguin (Pygoscelis adeliae),4400,41.3,195,0.04431818181818182
Chinstrap penguin (Pygoscelis antarctica),4400,49.2,195,0.04431818181818182
Gentoo penguin (Pygoscelis papua),4850,46.8,215,0.0443298969072165
Gentoo penguin (Pygoscelis papua),4700,42.8,209,0.044468085106382976
Adelie Penguin (Pygoscelis adeliae),4475,37.5,199,0.04446927374301676
Adelie Penguin (Pygoscelis adeliae),4450,41.8,198,0.04449438202247191
Gentoo penguin (Pygoscelis papua),4875,44.5,217,0.04451282051282051
Adelie Penguin (Pygoscelis adeliae),4400,44.1,196,0.04454545454545455
Gentoo penguin (Pygoscelis papua),4750,44.9,212,0.04463157894736842
Gentoo penguin (Pygoscelis papua),4750,45.5,212,0.04463157894736842
Gentoo penguin (Pygoscelis papua),4700,41.7,210,0.04468085106382979
Adelie Penguin (Pygoscelis adeliae),4250,42,190,0.04470588235294118
Adelie Penguin (Pygoscelis adeliae),4250,37.8,190,0.04470588235294118
Adelie Penguin (Pygoscelis adeliae),4250,39.2,190,0.04470588235294118
Gentoo penguin (Pygoscelis papua),4725,47.4,212,0.04486772486772487
Adelie Penguin (Pygoscelis adeliae),4400,34.6,198,0.045
Gentoo penguin (Pygoscelis papua),5000,50.1,225,0.045
Chinstrap penguin (Pygoscelis antarctica),4550,52.8,205,0.045054945054945054
Adelie Penguin (Pygoscelis adeliae),4350,40.3,196,0.045057471264367814
Gentoo penguin (Pygoscelis papua),4850,48.5,219,0.045154639175257735
Chinstrap penguin (Pygoscelis antarctica),4450,50.8,201,0.045168539325842694
Gentoo penguin (Pygoscelis papua),4750,45.2,215,0.045263157894736845
Adelie Penguin (Pygoscelis adeliae),4300,41.5,195,0.04534883720930233
Adelie Penguin (Pygoscelis adeliae),4250,39.7,193,0.04541176470588235
Gentoo penguin (Pygoscelis papua),4600,47.5,209,0.04543478260869565
Gentoo penguin (Pygoscelis papua),4575,43.3,208,0.04546448087431694
Gentoo penguin (Pygoscelis papua),4750,49.6,216,0.04547368421052632
Gentoo penguin (Pygoscelis papua),4750,47.7,216,0.04547368421052632
Gentoo penguin (Pygoscelis papua),4875,46.9,222,0.04553846153846154
Chinstrap penguin (Pygoscelis antarctica),4500,53.5,205,0.04555555555555556
Adelie Penguin (Pygoscelis adeliae),3950,40.5,180,0.04556962025316456
Adelie Penguin (Pygoscelis adeliae),3900,37.2,178,0.045641025641025644
Gentoo penguin (Pygoscelis papua),4600,48.2,210,0.04565217391304348
Gentoo penguin (Pygoscelis papua),4725,47.3,216,0.045714285714285714
Gentoo penguin (Pygoscelis papua),4650,43.5,213,0.045806451612903226
Gentoo penguin (Pygoscelis papua),4625,49.1,212,0.04583783783783784
Adelie Penguin (Pygoscelis adeliae),4100,41.1,188,0.045853658536585365
Adelie Penguin (Pygoscelis adeliae),4250,42.8,195,0.04588235294117647
Adelie Penguin (Pygoscelis adeliae),4200,35.1,193,0.04595238095238095
Gentoo penguin (Pygoscelis papua),4700,46.4,216,0.04595744680851064
Gentoo penguin (Pygoscelis papua),4650,40.9,214,0.046021505376344085
Gentoo penguin (Pygoscelis papua),4650,45.5,214,0.046021505376344085
Gentoo penguin (Pygoscelis papua),4650,46.2,214,0.046021505376344085
Adelie Penguin (Pygoscelis adeliae),4150,42.3,191,0.04602409638554217
Adelie Penguin (Pygoscelis adeliae),4275,42.2,197,0.04608187134502924
Gentoo penguin (Pygoscelis papua),4550,46.5,210,0.046153846153846156
Adelie Penguin (Pygoscelis adeliae),4200,46,194,0.04619047619047619
Gentoo penguin (Pygoscelis papua),4700,45.8,219,0.046595744680851064
Gentoo penguin (Pygoscelis papua),4450,43.2,208,0.046741573033707864
Chinstrap penguin (Pygoscelis antarctica),4300,54.2,201,0.04674418604651163
Gentoo penguin (Pygoscelis papua),4700,43.5,220,0.04680851063829787
Adelie Penguin (Pygoscelis adeliae),4100,43.2,192,0.04682926829268293
Adelie Penguin (Pygoscelis adeliae),3950,38.2,185,0.04683544303797468
Gentoo penguin (Pygoscelis papua),4500,46.1,211,0.04688888888888889
Chinstrap penguin (Pygoscelis antarctica),4150,46,195,0.046987951807228916
Adelie Penguin (Pygoscelis adeliae),3900,40.9,184,0.04717948717948718
Adelie Penguin (Pygoscelis adeliae),3900,37.2,184,0.04717948717948718
Gentoo penguin (Pygoscelis papua),4450,48.7,210,0.04719101123595506
Adelie Penguin (Pygoscelis adeliae),4150,39.2,196,0.047228915662650604
Adelie Penguin (Pygoscelis adeliae),3800,38.8,180,0.04736842105263158
Gentoo penguin (Pygoscelis papua),4600,43.4,218,0.04739130434782609
Adelie Penguin (Pygoscelis adeliae),4050,41.1,192,0.047407407407407405
Adelie Penguin (Pygoscelis adeliae),4150,45.8,197,0.047469879518072286
Chinstrap penguin (Pygoscelis antarctica),4150,52,197,0.047469879518072286
Gentoo penguin (Pygoscelis papua),4400,43.3,209,0.0475
Adelie Penguin (Pygoscelis adeliae),4300,41.1,205,0.047674418604651166
Gentoo penguin (Pygoscelis papua),4400,45.1,210,0.04772727272727273
Gentoo penguin (Pygoscelis papua),4350,44,208,0.04781609195402299
Adelie Penguin (Pygoscelis adeliae),3950,38.3,189,0.047848101265822784
Adelie Penguin (Pygoscelis adeliae),4075,42.7,196,0.04809815950920245
Adelie Penguin (Pygoscelis adeliae),3950,38.8,190,0.04810126582278481
Adelie Penguin (Pygoscelis adeliae),3750,39.1,181,0.048266666666666666
Adelie Penguin (Pygoscelis adeliae),4300,40.8,208,0.04837209302325581
Gentoo penguin (Pygoscelis papua),4300,43.8,208,0.04837209302325581
Gentoo penguin (Pygoscelis papua),4400,46.5,213,0.04840909090909091
Adelie Penguin (Pygoscelis adeliae),3950,41.6,192,0.04860759493670886
Gentoo penguin (Pygoscelis papua),4400,45.7,214,0.04863636363636364
Adelie Penguin (Pygoscelis adeliae),3700,37.8,180,0.04864864864864865
Adelie Penguin (Pygoscelis adeliae),3900,39.7,190,0.04871794871794872
Adelie Penguin (Pygoscelis adeliae),3900,38.2,190,0.04871794871794872
Adelie Penguin (Pygoscelis adeliae),3900,41.1,190,0.04871794871794872
Adelie Penguin (Pygoscelis adeliae),4000,42.1,195,0.04875
Gentoo penguin (Pygoscelis papua),4300,45.3,210,0.04883720930232558
Chinstrap penguin (Pygoscelis antarctica),3700,58,181,0.04891891891891892
Adelie Penguin (Pygoscelis adeliae),3800,39.5,186,0.04894736842105263
Adelie Penguin (Pygoscelis adeliae),3900,39.6,191,0.04897435897435897
Adelie Penguin (Pygoscelis adeliae),3800,35.3,187,0.049210526315789475
Adelie Penguin (Pygoscelis adeliae),3800,36.7,187,0.049210526315789475
Chinstrap penguin (Pygoscelis antarctica),4300,49,212,0.04930232558139535
Adelie Penguin (Pygoscelis adeliae),4050,42,200,0.04938271604938271
Chinstrap penguin (Pygoscelis antarctica),4100,51,203,0.04951219512195122
Gentoo penguin (Pygoscelis papua),4200,45.3,208,0.049523809523809526
Gentoo penguin (Pygoscelis papua),4375,46.2,217,0.0496
Chinstrap penguin (Pygoscelis antarctica),4050,52,201,0.04962962962962963
Chinstrap penguin (Pygoscelis antarctica),4050,50.5,201,0.04962962962962963
Adelie Penguin (Pygoscelis adeliae),3800,35.9,189,0.049736842105263156
Adelie Penguin (Pygoscelis adeliae),4000,40.6,199,0.04975
Adelie Penguin (Pygoscelis adeliae),3625,38.9,181,0.049931034482758624
Adelie Penguin (Pygoscelis adeliae),3700,36.6,185,0.05
Adelie Penguin (Pygoscelis adeliae),3600,37.7,180,0.05
Adelie Penguin (Pygoscelis adeliae),3900,40.8,195,0.05
Adelie Penguin (Pygoscelis adeliae),3800,36.3,190,0.05
Gentoo penguin (Pygoscelis papua),4200,45.8,210,0.05
Gentoo penguin (Pygoscelis papua),4200,45.5,210,0.05
Chinstrap penguin (Pygoscelis antarctica),3700,47,185,0.05
Chinstrap penguin (Pygoscelis antarctica),4050,50.7,203,0.050123456790123457
Chinstrap penguin (Pygoscelis antarctica),4050,49.3,203,0.050123456790123457
Chinstrap penguin (Pygoscelis antarctica),3950,45.2,198,0.05012658227848101
Adelie Penguin (Pygoscelis adeliae),4000,41.5,201,0.05025
Chinstrap penguin (Pygoscelis antarctica),3900,50,196,0.050256410256410255
Adelie Penguin (Pygoscelis adeliae),3800,38.6,191,0.05026315789473684
Chinstrap penguin (Pygoscelis antarctica),3600,42.4,181,0.050277777777777775
Adelie Penguin (Pygoscelis adeliae),3975,40.2,200,0.050314465408805034
Adelie Penguin (Pygoscelis adeliae),3700,36,187,0.05054054054054054
Gentoo penguin (Pygoscelis papua),4150,42,210,0.05060240963855422
Chinstrap penguin (Pygoscelis antarctica),3850,47.6,195,0.05064935064935065
Adelie Penguin (Pygoscelis adeliae),3650,39,185,0.050684931506849315
Adelie Penguin (Pygoscelis adeliae),3550,42.2,180,0.05070422535211268
Adelie Penguin (Pygoscelis adeliae),3800,40.6,193,0.05078947368421052
Chinstrap penguin (Pygoscelis antarctica),3800,46.6,193,0.05078947368421052
Chinstrap penguin (Pygoscelis antarctica),3800,50.6,193,0.05078947368421052
Chinstrap penguin (Pygoscelis antarctica),3950,51.4,201,0.05088607594936709
Adelie Penguin (Pygoscelis adeliae),3725,40.7,190,0.05100671140939597
Adelie Penguin (Pygoscelis adeliae),3450,40.2,176,0.051014492753623186
Chinstrap penguin (Pygoscelis antarctica),3900,47.5,199,0.05102564102564103
Chinstrap penguin (Pygoscelis antarctica),3775,49.6,193,0.051125827814569536
Adelie Penguin (Pygoscelis adeliae),3400,37.8,174,0.051176470588235295
Chinstrap penguin (Pygoscelis antarctica),4100,50.8,210,0.05121951219512195
Chinstrap penguin (Pygoscelis antarctica),3650,46.2,187,0.05123287671232877
Adelie Penguin (Pygoscelis adeliae),3700,35.5,190,0.051351351351351354
Adelie Penguin (Pygoscelis adeliae),3700,38.1,190,0.051351351351351354
Adelie Penguin (Pygoscelis adeliae),3600,37.6,185,0.05138888888888889
Chinstrap penguin (Pygoscelis antarctica),3775,51.7,194,0.05139072847682119
Adelie Penguin (Pygoscelis adeliae),3750,37.8,193,0.05146666666666667
Adelie Penguin (Pygoscelis adeliae),3725,35,192,0.051543624161073824
Adelie Penguin (Pygoscelis adeliae),3550,40.6,183,0.05154929577464789
Adelie Penguin (Pygoscelis adeliae),3700,41.4,191,0.05162162162162162
Adelie Penguin (Pygoscelis adeliae),3700,40.9,191,0.05162162162162162
Chinstrap penguin (Pygoscelis antarctica),3700,46.4,191,0.05162162162162162
Adelie Penguin (Pygoscelis adeliae),3750,37.6,194,0.05173333333333333
Chinstrap penguin (Pygoscelis antarctica),4000,55.8,207,0.05175
Adelie Penguin (Pygoscelis adeliae),3825,38.1,198,0.05176470588235294
Chinstrap penguin (Pygoscelis antarctica),3650,46.8,189,0.051780821917808216
Adelie Penguin (Pygoscelis adeliae),3550,39.7,184,0.051830985915492955
Adelie Penguin (Pygoscelis adeliae),3650,39.3,190,0.052054794520547946
Adelie Penguin (Pygoscelis adeliae),3875,41.4,202,0.05212903225806451
Chinstrap penguin (Pygoscelis antarctica),3950,51.9,206,0.052151898734177214
Adelie Penguin (Pygoscelis adeliae),3550,39,186,0.0523943661971831
Chinstrap penguin (Pygoscelis antarctica),3775,50.2,198,0.052450331125827816
Adelie Penguin (Pygoscelis adeliae),4000,44.1,210,0.0525
Chinstrap penguin (Pygoscelis antarctica),3750,51.3,197,0.052533333333333335
Chinstrap penguin (Pygoscelis antarctica),3800,49.5,200,0.05263157894736842
Gentoo penguin (Pygoscelis papua),3950,42.7,208,0.052658227848101265
Adelie Penguin (Pygoscelis adeliae),3550,36.2,187,0.05267605633802817
Gentoo penguin (Pygoscelis papua),4100,44.5,216,0.05268292682926829
Adelie Penguin (Pygoscelis adeliae),3775,37.3,199,0.05271523178807947
Adelie Penguin (Pygoscelis adeliae),3600,33.5,190,0.05277777777777778
Adelie Penguin (Pygoscelis adeliae),3600,38.9,190,0.05277777777777778
Chinstrap penguin (Pygoscelis antarctica),3650,51.3,193,0.052876712328767124
Chinstrap penguin (Pygoscelis antarctica),3725,52.7,197,0.05288590604026846
Adelie Penguin (Pygoscelis adeliae),3475,36.6,184,0.052949640287769786
Adelie Penguin (Pygoscelis adeliae),3750,38.6,199,0.053066666666666665
Adelie Penguin (Pygoscelis adeliae),3425,41.1,182,0.053138686131386864
Adelie Penguin (Pygoscelis adeliae),3500,39.6,186,0.053142857142857144
Chinstrap penguin (Pygoscelis antarctica),3575,45.9,190,0.05314685314685315
Chinstrap penguin (Pygoscelis antarctica),3800,50.2,202,0.053157894736842105
Chinstrap penguin (Pygoscelis antarctica),3950,49,210,0.053164556962025315
Chinstrap penguin (Pygoscelis antarctica),3525,45.4,188,0.05333333333333334
Chinstrap penguin (Pygoscelis antarctica),3675,50.9,196,0.05333333333333334
Chinstrap penguin (Pygoscelis antarctica),3650,45.7,195,0.05342465753424658
Chinstrap penguin (Pygoscelis antarctica),3700,51.3,198,0.053513513513513515
Chinstrap penguin (Pygoscelis antarctica),3600,45.7,193,0.05361111111111111
Adelie Penguin (Pygoscelis adeliae),3475,40.6,187,0.05381294964028777
Chinstrap penguin (Pygoscelis antarctica),3675,49.8,198,0.053877551020408164
Adelie Penguin (Pygoscelis adeliae),3500,36.9,189,0.054
Chinstrap penguin (Pygoscelis antarctica),3600,49.7,195,0.05416666666666667
Adelie Penguin (Pygoscelis adeliae),3400,34,185,0.054411764705882354
Adelie Penguin (Pygoscelis adeliae),3400,37,185,0.054411764705882354
Adelie Penguin (Pygoscelis adeliae),3425,38.1,187,0.0545985401459854
Adelie Penguin (Pygoscelis adeliae),3150,37.9,172,0.054603174603174605
Adelie Penguin (Pygoscelis adeliae),3550,41.3,194,0.05464788732394366
Adelie Penguin (Pygoscelis adeliae),3250,39.5,178,0.05476923076923077
Chinstrap penguin (Pygoscelis antarctica),3250,46.1,178,0.05476923076923077
Adelie Penguin (Pygoscelis adeliae),3300,37.6,181,0.05484848484848485
Chinstrap penguin (Pygoscelis antarctica),3500,46.5,192,0.054857142857142854
Chinstrap penguin (Pygoscelis antarctica),3525,45.6,194,0.0550354609929078
Adelie Penguin (Pygoscelis adeliae),3450,36,190,0.05507246376811594
Adelie Penguin (Pygoscelis adeliae),3450,35,190,0.05507246376811594
Chinstrap penguin (Pygoscelis antarctica),3450,46.4,190,0.05507246376811594
Adelie Penguin (Pygoscelis adeliae),3500,36.8,193,0.055142857142857146
Adelie Penguin (Pygoscelis adeliae),3550,39.6,196,0.0552112676056338
Chinstrap penguin (Pygoscelis antarctica),3550,50.9,196,0.0552112676056338
Adelie Penguin (Pygoscelis adeliae),3325,34.4,184,0.05533834586466165
Adelie Penguin (Pygoscelis adeliae),3475,34.1,193,0.05553956834532374
Chinstrap penguin (Pygoscelis antarctica),3350,42.5,187,0.05582089552238806
Chinstrap penguin (Pygoscelis antarctica),3350,42.5,187,0.05582089552238806
Chinstrap penguin (Pygoscelis antarctica),3400,50.1,190,0.05588235294117647
Adelie Penguin (Pygoscelis adeliae),3450,36.7,193,0.05594202898550724
Chinstrap penguin (Pygoscelis antarctica),3500,45.5,196,0.056
Chinstrap penguin (Pygoscelis antarctica),3400,48.5,191,0.05617647058823529
Adelie Penguin (Pygoscelis adeliae),3500,43.1,197,0.056285714285714286
Adelie Penguin (Pygoscelis adeliae),3300,37.8,186,0.056363636363636366
Adelie Penguin (Pygoscelis adeliae),3350,35.7,189,0.05641791044776119
Adelie Penguin (Pygoscelis adeliae),3450,38.7,195,0.05652173913043478
Adelie Penguin (Pygoscelis adeliae),3450,36,195,0.05652173913043478
Adelie Penguin (Pygoscelis adeliae),3500,37.7,198,0.05657142857142857
Adelie Penguin (Pygoscelis adeliae),3300,36.2,187,0.056666666666666664
Adelie Penguin (Pygoscelis adeliae),3400,40.2,193,0.05676470588235294
Adelie Penguin (Pygoscelis adeliae),3325,41.1,189,0.056842105263157895
Adelie Penguin (Pygoscelis adeliae),3200,41.1,182,0.056875
Adelie Penguin (Pygoscelis adeliae),3550,35.7,202,0.056901408450704224
Adelie Penguin (Pygoscelis adeliae),3300,39.5,188,0.05696969696969697
Adelie Penguin (Pygoscelis adeliae),3175,38.1,181,0.057007874015748035
Adelie Penguin (Pygoscelis adeliae),3350,37.3,191,0.05701492537313433
Chinstrap penguin (Pygoscelis antarctica),3450,52.2,197,0.05710144927536232
Adelie Penguin (Pygoscelis adeliae),3325,38.5,190,0.05714285714285714
Chinstrap penguin (Pygoscelis antarctica),3250,51.5,187,0.05753846153846154
Adelie Penguin (Pygoscelis adeliae),3150,36.5,182,0.057777777777777775
Adelie Penguin (Pygoscelis adeliae),3350,35.5,195,0.058208955223880594
Adelie Penguin (Pygoscelis adeliae),3275,38.8,191,0.0583206106870229
Adelie Penguin (Pygoscelis adeliae),3200,40.5,187,0.0584375
Chinstrap penguin (Pygoscelis antarctica),3200,40.9,187,0.0584375
Adelie Penguin (Pygoscelis adeliae),3325,36.4,195,0.058646616541353384
Adelie Penguin (Pygoscelis adeliae),3150,35.7,185,0.05873015873015873
Chinstrap penguin (Pygoscelis antarctica),3250,45.2,191,0.05876923076923077
Chinstrap penguin (Pygoscelis antarctica),3400,50.5,200,0.058823529411764705
Adelie Penguin (Pygoscelis adeliae),3200,34.6,189,0.0590625
Chinstrap penguin (Pygoscelis antarctica),3300,46.7,195,0.05909090909090909
Adelie Penguin (Pygoscelis adeliae),3150,36.2,187,0.059365079365079364
Chinstrap penguin (Pygoscelis antarctica),3400,43.5,202,0.05941176470588235
Adelie Penguin (Pygoscelis adeliae),3075,37.7,183,0.05951219512195122
Chinstrap penguin (Pygoscelis antarctica),3300,50.3,197,0.0596969696969697
Chinstrap penguin (Pygoscelis antarctica),3325,48.1,199,0.059849624060150375
Adelie Penguin (Pygoscelis adeliae),3250,40.3,195,0.06
Adelie Penguin (Pygoscelis adeliae),3100,36,186,0.06
Adelie Penguin (Pygoscelis adeliae),3175,35.6,191,0.06015748031496063
Adelie Penguin (Pygoscelis adeliae),2975,37.5,179,0.060168067226890755
Adelie Penguin (Pygoscelis adeliae),3200,39.7,193,0.0603125
Adelie Penguin (Pygoscelis adeliae),3050,35.2,186,0.06098360655737705
Adelie Penguin (Pygoscelis adeliae),2900,33.1,178,0.06137931034482759
Adelie Penguin (Pygoscelis adeliae),3050,32.1,188,0.06163934426229508
Adelie Penguin (Pygoscelis adeliae),3000,37,185,0.06166666666666667
Adelie Penguin (Pygoscelis adeliae),3050,35.9,190,0.06229508196721312
Adelie Penguin (Pygoscelis adeliae),3050,39,191,0.06262295081967213
Adelie Penguin (Pygoscelis adeliae),2850,36.5,181,0.06350877192982456
Adelie Penguin (Pygoscelis adeliae),3000,37.3,192,0.064
Adelie Penguin (Pygoscelis adeliae),2900,34.5,187,0.06448275862068965
Chinstrap penguin (Pygoscelis antarctica),2900,43.2,187,0.06448275862068965
Adelie Penguin (Pygoscelis adeliae),2850,36.4,184,0.06456140350877193
Adelie Penguin (Pygoscelis adeliae),2900,38.6,188,0.06482758620689655
Adelie Penguin (Pygoscelis adeliae),2925,37.9,193,0.06598290598290599
Chinstrap penguin (Pygoscelis antarctica),2700,46.9,192,0.07111111111111111
Adelie Penguin (Pygoscelis adeliae),NA,NA,NA,NA
Gentoo penguin (Pygoscelis papua),NA,NA,NA,NA
